2021-05-15T02:44:28,626 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; 
2021-05-15T02:44:28,627 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; result = [GunProviderDto(super=BaseDto(id=2), name=gp2, speciality=spec2, reputation=4, gunTypeDtos=null), GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null)] 
2021-05-15T02:44:28,771 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=5), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:44:28,772 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:45:14,751 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method entered; result = null 
2021-05-15T02:45:14,762 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method finished; 
2021-05-15T02:45:14,944 TRACE [Test worker]: GunProviderController                - updateGunProvider - method entered; dto = GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:45:14,952 TRACE [Test worker]: GunProviderController                - updateGunProvider - method finished; result = null 
2021-05-15T02:45:14,982 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; 
2021-05-15T02:45:14,983 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; result = [GunProviderDto(super=BaseDto(id=2), name=gp2, speciality=spec2, reputation=4, gunTypeDtos=null), GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null)] 
2021-05-15T02:45:15,103 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=5), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:45:15,104 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:45:32,407 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:45:32,445 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:45:32,535 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:45:32,535 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:45:32,636 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:45:32,636 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:45:32,680 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-21T16:52:57,930 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
